,name_2,root_1,pitch_class_smaller,cents_diff,matched_pitch_class,n_edo
9,just diatonic,B,A,-14.271816451043572,A,11
0,just diatonic,C,C,0.0,C,12
2,just diatonic,C,D,-3.9100017307746735,D,12
4,just diatonic,C,E,13.686286135165219,E,12
5,just diatonic,C,F,1.9550008653876136,F,12
7,just diatonic,C,G,-1.9550008653873927,G,12
9,just diatonic,C,A,15.641287000552365,A,12
11,just diatonic,C,B,11.731285269777747,B,12
0,just diatonic,D,D,0.0,D,12
2,just diatonic,D,E,17.59628786593992,E,12
3,just diatonic,D,F,5.865002596162303,F,12
5,just diatonic,D,G,1.9550008653876136,G,12
7,just diatonic,D,A,19.55128873132746,A,12
9,just diatonic,D,B,15.641287000552746,B,12
10,just diatonic,D,C,3.910001730774752,C,12
0,just diatonic,E,E,0.0,E,12
1,just diatonic,E,F,-11.731285269777231,F,12
3,just diatonic,E,G,-15.641287000552529,G,12
5,just diatonic,E,A,1.9550008653872297,A,12
7,just diatonic,E,B,-1.9550008653872,B,12
8,just diatonic,E,C,-13.686286135165112,C,12
10,just diatonic,E,D,-17.596287865939992,D,12
0,just diatonic,F,F,0.0,F,12
2,just diatonic,F,G,-3.910001730774866,G,12
4,just diatonic,F,A,13.686286135164837,A,12
6,just diatonic,F,B,9.776284404390458,B,12
7,just diatonic,F,C,-1.955000865387585,C,12
9,just diatonic,F,D,-5.865002596162659,D,12
11,just diatonic,F,E,11.731285269777365,E,12
0,just diatonic,G,G,0.0,G,12
2,just diatonic,G,A,17.59628786593992,A,12
4,just diatonic,G,B,13.686286135165219,B,12
5,just diatonic,G,C,1.9550008653876136,C,12
7,just diatonic,G,D,-1.955000865387585,D,12
9,just diatonic,G,E,15.641287000552365,E,12
10,just diatonic,G,F,3.9100017307751354,F,12
0,just diatonic,A,A,0.0,A,12
2,just diatonic,A,B,-3.9100017307744803,B,12
3,just diatonic,A,C,-15.641287000552529,C,12
5,just diatonic,A,D,-19.55128873132752,D,12
7,just diatonic,A,E,-1.9550008653873927,E,12
8,just diatonic,A,F,-13.686286135164918,F,12
10,just diatonic,A,G,-17.596287865939992,G,12
0,just diatonic,B,B,0.0,B,12
1,just diatonic,B,C,-11.731285269777812,C,12
3,just diatonic,B,D,-15.641287000552722,D,12
5,just diatonic,B,E,1.9550008653872297,E,12
6,just diatonic,B,F,-9.776284404390282,F,12
8,just diatonic,B,G,-13.6862861351655,G,12
