tonic,deg,harm_num_match_deg,harm_cents_match_deg
43,1,23,116.7566
43,1,45,78.706
43,2,3,190.4373
43,2,47,153.9889
43,2,49,226.1341
43,3,13,329.01
43,3,25,261.1097
43,3,51,295.3927
43,4,27,394.3473
43,4,53,361.9868
43,4,55,426.114
43,5,7,457.3082
43,5,29,518.0595
43,5,57,487.9503
43,5,59,547.654
43,6,15,576.751
43,6,31,633.5179
43,6,61,605.3671
43,7,1,688.4823
43,7,33,741.7552
43,7,63,661.2182
43,8,17,793.4377
43,8,35,843.6219
43,9,9,892.3923
43,9,37,939.8263
43,10,19,985.9953
43,10,39,1030.965
43,11,5,1074.796
43,11,41,1117.5447
45,1,47,75.2829
45,1,49,147.4281
45,3,13,250.3039
45,3,53,283.2808
45,4,7,378.6022
45,4,29,439.3535
45,5,59,468.9479
45,5,61,526.6611
45,6,1,609.7763
45,6,31,554.8119
45,7,17,714.7317
45,9,19,907.2893
45,9,37,861.1203
45,10,41,1038.8387
45,11,43,1121.294
47,1,25,107.1208
47,1,49,72.1452
47,1,51,141.4038
47,2,13,175.021
47,2,27,240.3584
47,2,53,207.9979
47,3,7,303.3193
47,3,55,272.125
47,3,57,333.9614
47,4,15,422.7621
47,4,29,364.0706
47,4,59,393.665
47,5,1,534.4934
47,5,31,479.529
47,5,61,451.3782
47,5,63,507.2293
47,6,17,639.4488
47,6,33,587.7663
47,7,9,738.4034
47,7,35,689.633
47,8,19,832.0064
47,8,37,785.8374
47,9,5,920.8071
47,9,39,876.976
47,10,21,1005.2743
47,10,41,963.5558
47,10,43,1046.0111
47,11,11,1085.8113
47,11,45,1124.7171
49,1,13,102.8758
49,1,51,69.2586
49,1,53,135.8527
49,2,27,168.2132
49,2,55,199.9798
49,3,29,291.9254
49,3,57,261.8162
49,3,59,321.5198
49,4,15,350.6169
49,4,31,407.3838
49,4,61,379.233
49,5,1,462.3482
49,5,33,515.6211
49,6,17,567.3036
49,7,9,666.2582
49,7,37,713.6922
49,8,5,848.6619
49,8,19,759.8612
49,8,39,804.8308
49,9,41,891.4106
49,10,11,1013.6661
49,10,43,973.8659
49,11,23,1090.6225
49,11,45,1052.5719
49,11,47,1127.8548
51,1,53,66.5941
51,1,55,130.7212
51,2,7,161.9155
51,2,29,222.6668
51,3,31,338.1252
51,3,59,252.2612
51,3,61,309.9744
51,4,1,393.0896
51,5,35,548.2292
51,6,37,644.4336
51,7,19,690.6026
51,8,5,779.4033
51,8,41,822.152
51,9,11,944.4075
51,9,43,904.6073
51,10,23,1021.3639
51,11,47,1058.5962
51,11,49,1130.7414
53,1,7,95.3214
53,1,55,64.1271
53,1,57,125.9635
53,2,15,214.7642
53,2,29,156.0726
53,2,59,185.6671
53,2,61,243.3803
53,3,1,326.4955
53,3,31,271.531
53,3,63,299.2314
53,4,17,431.4509
53,4,33,379.7684
53,5,9,530.4055
53,5,35,481.6351
53,6,19,624.0085
53,6,37,577.8395
53,7,5,712.8092
53,7,39,668.9781
53,8,21,797.2764
53,8,41,755.5579
53,8,43,838.0132
53,9,11,877.8134
53,9,45,916.7192
53,10,3,1028.4505
53,10,23,954.7698
53,10,47,992.0021
53,11,25,1099.1229
53,11,49,1064.1473
53,11,51,1133.4059
55,1,29,91.9455
55,1,57,61.8364
55,1,59,121.54
55,2,31,207.4039
55,2,61,179.2531
55,2,63,235.1043
55,3,1,262.3683
55,4,17,367.3238
55,5,9,466.2783
55,5,37,513.7124
55,6,19,559.8814
55,6,39,604.851
55,7,21,733.1493
55,7,41,691.4307
55,8,43,773.886
55,9,23,890.6427
55,9,47,927.875
55,10,3,964.3233
55,10,49,1000.0202
55,11,13,1102.896
55,11,51,1069.2788
55,11,53,1135.8729
57,1,31,145.5676
57,1,59,59.7036
57,1,61,117.4168
57,2,1,200.532
57,3,17,305.4874
57,4,35,355.6716
57,5,37,451.876
57,6,5,586.8457
57,6,41,629.5944
57,7,43,712.0497
57,8,11,751.8499
57,8,23,828.8063
57,9,47,866.0386
57,9,49,938.1838
57,10,13,1041.0596
57,10,25,973.1594
57,11,53,1074.0365
57,11,55,1138.1636
59,1,1,140.8283
59,1,31,85.8639
59,1,61,57.7131
59,1,63,113.5642
59,2,17,245.7838
59,2,33,194.1013
59,3,9,344.7383
59,3,35,295.968
59,4,19,438.3414
59,4,37,392.1724
59,5,5,527.1421
59,5,39,483.311
59,6,21,611.6092
59,6,41,569.8907
59,7,11,692.1463
59,7,43,652.346
59,7,45,731.0521
59,8,3,842.7833
59,8,23,769.1027
59,8,47,806.335
59,9,25,913.4558
59,9,49,878.4802
59,9,51,947.7388
59,10,13,981.356
59,10,27,1046.6933
59,10,53,1014.3329
59,11,7,1109.6542
59,11,55,1078.46
59,11,57,1140.2964
61,1,1,83.1152
61,1,33,136.3881
61,1,63,55.8511
61,2,17,188.0706
61,2,35,238.2548
61,3,9,287.0252
61,3,37,334.4592
61,4,19,380.6282
61,4,39,425.5979
61,5,5,469.4289
61,5,41,512.1776
61,6,11,634.4331
61,6,21,553.8961
61,6,43,594.6329
61,7,23,711.3895
61,7,45,673.3389
61,7,47,748.6218
61,8,3,785.0702
61,8,49,820.767
61,9,13,923.6429
61,9,25,855.7426
61,9,51,890.0256
61,10,27,988.9802
61,10,53,956.6197
61,10,55,1020.7469
61,11,7,1051.9411
61,11,29,1112.6924
61,11,57,1082.5832
61,11,59,1142.2869
63,1,17,132.2195
63,3,19,324.7771
63,3,37,278.6081
63,4,5,413.5778
63,5,41,456.3265
63,5,43,538.7818
63,6,11,578.582
63,7,23,655.5384
63,7,47,692.7707
63,8,25,799.8915
63,9,13,867.7918
63,9,53,900.7686
63,10,55,964.8957
63,11,29,1056.8413
63,11,59,1086.4358
63,11,61,1144.1489
